IDENT,PROBLEM,ACTION,DESAB
100001,ENGINE IDLE OVERRIDE KILLED ENGINE.,"TRIED TO ADJUST IDLE SEVERAL TIMES, WOULDN'T ADJUST.",ENGINE IDLE OVERRIDE KILLED ENGINE.
100001,ENGINE IDLE OVERRIDE KILLED ENGINE.,REMOVED & REPLACED FUEL SERVO,ENGINE IDLE OVERRIDE KILLED ENGINE.
100001,ENGINE IDLE OVERRIDE KILLED ENGINE.,"A/C WAS RUN UP, SET IDLE SPEED, MIXTURE OK, NO LEAKS NO",ENGINE IDLE OVERRIDE KILLED ENGINE.
100004,HAD ENGINE CHOKE & BRIEFLY LOSE POWER ON DEPARTURE. FULL THR,"PERFORMED ENGINE RUN UP, FOUND CYL 2 LOWER PLUG FOULED.",HAD ENGINE CHOKE & BRIEFLY LOSE POWER ON DEPARTURE. FULL THR
100005,#2 & 4 CYL ROCKER COVER GASKETS ARE LEAKING.,REMOVED & REPLACED GASKETS.,#2 & 4 CYLINDER ROCKER COVER GASKETS ARE LEAKING.
100006,ROCKER BOX COVER SCREWS LOOSE (ALL CYL).,TIGHTENED SCREWS.,ROCKER BOX COVER SCREWS LOOSE (ALL CYLINDER).
100007,INDUCTION TUBE HOSE CLAMPS LOOSE (ALL CYL).,TIGHTENED HOSE CLAMPS.,INDUCTION TUBE HOSE CLAMPS LOOSE (ALL CYLINDER).
100008,#3 INTAKE IS LEAKING.,REMOVED & REPLACED GASKET.,#3 INTAKE IS LEAKING.
100009,#2 INTAKE IS LEAKING.,REMOVED & REPLACED #2 INTAKE GASKET.,#2 INTAKE IS LEAKING.
100010,#4 ROCKER COVER IS LEAKING.,REMOVED & REPLACED #4 ROCKER COVER GASKET.,#4 ROCKER COVER IS LEAKING.
100011,"HOLDING SHORT OF RUNWAY, AFTER COMPLETION OF RUN UP, ENGINE","PERFORMED ENGINE RUN UP, ADJUSTED IDLE & CLEANED SPARK","HOLDING SHORT OF RUNWAY, AFTER COMPLETION OF RUN UP, ENGINE"
100012,L/H REAR ENGINE BAFFLE CRACKED.,STOP DRILLED CRACK.,LEFT REAR ENGINE BAFFLE CRACKED.
100013,INDUCTION TUBE HOSE CLAMPS LOOSE (ALL CYLS).,TIGHTENED HOSE CLAMPS.,INDUCTION TUBE HOSE CLAMPS LOOSE (ALL CYLS).
100014,"#1, 2 & 3 ROCKER BOX COVER GASKETS LEAKING.",INSTALLED NEW ROCKER BOX COVER GASKETS.,"#1, 2 & 3 ROCKER BOX COVER GASKETS LEAKING."
100015,#2 ROCKER COVER GASKET LEAKING.,REMOVED & REPLACED #2 ROCKER COVER GASKET.,#2 ROCKER COVER GASKET LEAKING.
100016,#1 & 3 ROCKER COVER GASKET LEAKING.,REMOVED & REPLACED #1 & 3 ROCKER COVER GASKET.,#1 & 3 ROCKER COVER GASKET LEAKING.
100017,ROCKER BOX COVER SCREWS LOOSE.,TIGHTENED SCREWS.,ROCKER BOX COVER SCREWS LOOSE.
100018,#1 ENGINE BAFFLE CRACKED.,FABRICATED PATCH OF LIKE MATERIAL & RIVETED IAW ,#1 ENGINE BAFFLE CRACKED.
100019,#1 INTAKE GASKET LEAKING.,REPLACED W/ NEW GASKET.,#1 INTAKE GASKET LEAKING.
100020,ROCKER COVER FOR CYL #1 IS LEAKING.,REPLACED ROCKER COVER.,ROCKER COVER FOR CYLINDER #1 IS LEAKING.
100021,CYL #4 INTAKE LEAKING.,REPLACED GASKET. LEAK CHECK GOOD.,CYLINDER #4 INTAKE LEAKING.
