Grupo,Frase,Tipo
0,ENGINE IDLE OVERRIDE KILLED ENGINE.,orig
1,HAD ENGINE CHOKE & BRIEFLY LOSE POWER ON DEPARTURE. FULL THR,orig
2,"HOLDING SHORT OF RUNWAY, AFTER COMPLETION OF RUN UP, ENGINE",orig
3,#1 ENGINE BAFFLE CRACKED.,orig
4,RIGHT MAGNETOS BLAST TUBE FELL OFF.,orig
5,"ON START UP, ENGINE BEGAN TO RUN ROUGH. RAN ENGINE @ 1200 RIGHT PATTERN",orig
6,RIGHT ENGINE #4 AIR BAFFLE IS CRACKED,orig
7,RIGHT ENGINE FORWARD ALTERNATOR ATTACH BOLT LOOSE.,orig
8,"RIGHT ENGINE, ALL VALVE COVERS ARE LEAKING.",orig
9,"IN FLIGHT, ENGINE BECAME ROUGH. DISCOVERED RIGHT MAGNETOS INOPERABLE. E",orig
10,OIL DIPSTICK OIL STICK IS LOOSE.,orig
11,#3 BRAKE MISSING SCREW.,orig
12,"#1, 2, & 6 COWL MOUNTS ARE TORN.",orig
13,"DURING IDLE CHECK ON RUN UP, ENGINE QUIT. RESTART ENGINE",orig
14,DURING GROUND RUN PILOT NOTICED HIGH OIL PRESS (ENGINE).,orig
15,VACUUM TUBE & OIL COOLER LINE ARE RUBBING TOGETHER.,orig
16,"AFTER LANDING, A/C IDLE @ 970 RPM.",orig
17,FUEL PRESS 32 - 33 W/ JUMPS INTO RED.,orig
18,LAST DAILY SHUT DOWN IDLE OVER RIDE SPEED CHECK - ENGINE RPM,orig
19,#2 & 4 SIDE BAFFLE BRACE BROKEN.,orig
20,ENGINE STARTED RUNNING ROUGH & VIBRATING A LOT.,orig
21,ENGINE WOULD NOT START.,orig
22,"TOP FRONT RIGHT BAFFLE, BAFFLE SEAL RIVET PULLED THROUGH.",orig
23,ROUGH RUNNING ENGINE ON START. ENGINE RAN SMOOTHER AS IT WAR,orig
24,OIL FOUND ON ENTIRE RIGHT SIDE OF FUSELAGE.,orig
25,ENGINE DIED DURING MAGNETOS CHECK.,orig
26,BAFFLE SEALS UNDER BOTH PROP GOVERNORS ARE LOOSE.,orig
27,#1 LEFT INTAKE HAS LARGE GOUGE.,orig
28,LEFT SIDE OF ENGINE FORWARD RUBBER SEAL LOOSE.,orig
29,ENGINE STARTED RUNNING ROUGH SHORTLY AFTER TAKEOFF & LANDED,orig
30,CYLINDER HEAD TEMPERATURE NEEDLE BOUNCES & HAD ENGINE RUN ROUGH MOMENTARILY.,orig
31,NOTED WEAR ON ENGINE MOUNT CAUSED BY ENGINE BREATHER SUPPORT,orig
32,RIGHT ENGINE #3 & 4 INTAKE TUBES ARE LEAKING.,orig
33,LEFT BRAKE LININGS ARE WORN OUT.,orig
34,ENGINE OVERSPEED UP TO 3400 RPM @ TERMINATION OF AN AUTO.,orig
35,#3 BAFFLE BUTTON PLUG BAD.,orig
36,RIGHT ENGINE ROUGH IN FLIGHT.,orig
37,"WHILE TAXIING, ENGINE QUIT.",orig
38,"RIGHT ENGINE, FORWARD I/B BAFFLE HAS SMALL CRACK.",orig
39,"BOTH ENGS, ALL ROCKER COVERS LOOSE.",orig
40,REINSTALL ENGINE AFTER REPAIR TO FIREWALL.,orig
41,#3 CYLINDER EXHAUST SEAL LEAKING.,orig
42,FELT ON #1 & 3 BAFFLE COMING LOOSE.,orig
43,ENGINE RUNS ROUGH AFTER START. ENGINE SHUT DOWN WHEN POWER T,orig
44,"LACING CORD LOOSE ON SCAT TUBING + IGNITION LEAD TO FRAME, RIGHT SI",orig
45,"ON RIGHT ENGINE START, ENGINE RAN VERY ROUGH.",orig
46,"RIGHT ENGINE, ALL 4 ROCKER COVER GASKETS SEEPING.",orig
47,#3 AFT BAFFLE IS WORN THROUGH AT I/B CYLINDER WRAP.,orig
48,FRONT RIGHT BAFFLE WORN THROUGH FROM MUFFLER SHROUD.,orig
