Grupo,Frase,Tipo
6,RIGHT ENGINE #4 AIR BAFFLE IS CRACKED,orig
7,RIGHT ENGINE FORWARD ALTERNATOR ATTACH BOLT LOOSE.,orig
16,"AFTER LANDING, A/C IDLE @ 970 RPM.",orig
22,"TOP FRONT RIGHT BAFFLE, BAFFLE SEAL RIVET PULLED THROUGH.",orig
23,ROUGH RUNNING ENGINE ON START. ENGINE RAN SMOOTHER AS IT WAR,orig
30,CYLINDER HEAD TEMPERATURE NEEDLE BOUNCES & HAD ENGINE RUN ROUGH MOMENTARILY.,orig
44,"LACING CORD LOOSE ON SCAT TUBING + IGNITION LEAD TO FRAME, RIGHT SI",orig
56,RIGHT SIDE BACK BAFFLE IS CRACKED & BRACKET RIVETS BROKEN.,orig
66,SPARK PLUG BAFFLE PLUG IS WORN.,orig
111,4TH STAGE NOZZLE HAS SEVERAL CRACKS IN IT.,orig
126,#1 FORWARD BAFFLE IS WORN THROUGH.,orig
135,ENGINE RUNS ROUGH ON START. MAINTENANCE HAND SPUN PROP & REPORTED 1 CYLINDER,orig
139,"RAN ENGINE START CKLIST 3 TIMES, TRIED COLD START CKLIST 2 T",orig
141,BACK RIGHT BAFFLE BACK BRACKET RIVET HEAD IS SHEARED OFF.,orig
154,AFT BAFFLE BRACKET RIVETS PULLING THROUGH.,orig
163,"FRONT BAFFLE BY INTAKE HEAT, AROUND MUFFLER SHROUD, IS CRACK",orig
166,RIGHT FRONT BAFFLE SEAL RIVET IS BROKEN.,orig
167,CYLINDER #2 INTAKE PUSH ROD TUBE INNER SEAL IS WEEPING.,orig
198,STARTER INOPERABLE.,orig
201,A/C DIED DURING IDLE CHECK.,orig
210,LEFT ENGINE #4 BAFFLE HAS A CRACKED REINFORCING BRACE.,orig
219,"AFTER PERFORMING SIMULATED ENGINE FAILURE, SMOOTHLY APPLIED",orig
223,"LEFT ENGINE, LEFT AFT ENGINE BAFFLE CHAFED ON CYLINDER.",orig
226,IDLE MIXTURE NEEDS ADJUSTMENT.,orig
256,#2 ROCKER SHAFT THRUST PLUG BROKEN.,orig
