sentence1,sentence2,label
ENGINE IDLE OVERRIDE KILLED ENGINE.,ENGAGING THE ENGINE IDLE OVERRIDE CAUSED THE ENGINE TO SHUT DOWN.,1
ENGINE IDLE OVERRIDE KILLED ENGINE.,PUSHED THE IDLE OVERRIDE AND IT KILLED THE ENGINE.,1
ENGINE IDLE OVERRIDE KILLED ENGINE.,THE ENGINE STOPPED WHEN THE IDLE-OVERRIDE WAS ACTIVATED.,1
ENGINE IDLE OVERRIDE KILLED ENGINE.,ACTIVATION OF IDLE OVERRIDE RESULTED IN ENGINE SHUTDOWN.,1
ENGAGING THE ENGINE IDLE OVERRIDE CAUSED THE ENGINE TO SHUT DOWN.,PUSHED THE IDLE OVERRIDE AND IT KILLED THE ENGINE.,1
ENGAGING THE ENGINE IDLE OVERRIDE CAUSED THE ENGINE TO SHUT DOWN.,THE ENGINE STOPPED WHEN THE IDLE-OVERRIDE WAS ACTIVATED.,1
ENGAGING THE ENGINE IDLE OVERRIDE CAUSED THE ENGINE TO SHUT DOWN.,ACTIVATION OF IDLE OVERRIDE RESULTED IN ENGINE SHUTDOWN.,1
PUSHED THE IDLE OVERRIDE AND IT KILLED THE ENGINE.,THE ENGINE STOPPED WHEN THE IDLE-OVERRIDE WAS ACTIVATED.,1
PUSHED THE IDLE OVERRIDE AND IT KILLED THE ENGINE.,ACTIVATION OF IDLE OVERRIDE RESULTED IN ENGINE SHUTDOWN.,1
THE ENGINE STOPPED WHEN THE IDLE-OVERRIDE WAS ACTIVATED.,ACTIVATION OF IDLE OVERRIDE RESULTED IN ENGINE SHUTDOWN.,1
HAD ENGINE CHOKE & BRIEFLY LOSE POWER ON DEPARTURE. FULL THR,DURING DEPARTURE AT FULL THROTTLE THE ENGINE CHOKED AND THERE WAS A BRIEF LOSS OF POWER.,1
HAD ENGINE CHOKE & BRIEFLY LOSE POWER ON DEPARTURE. FULL THR,ON TAKEOFF WITH THE THROTTLE WIDE OPEN THE ENGINE HICCUPPED AND WE MOMENTARILY LOST POWER.,1
HAD ENGINE CHOKE & BRIEFLY LOSE POWER ON DEPARTURE. FULL THR,ENGINE EXPERIENCED A CHOKE AND MOMENTARY POWER LOSS DURING DEPARTURE WHILE AT FULL THRUST.,1
HAD ENGINE CHOKE & BRIEFLY LOSE POWER ON DEPARTURE. FULL THR,HAD AN ENGINE CHOKE AND A SHORT POWER DROP ON DEPARTURE WITH FULL THROTTLE APPLIED.,1
DURING DEPARTURE AT FULL THROTTLE THE ENGINE CHOKED AND THERE WAS A BRIEF LOSS OF POWER.,ON TAKEOFF WITH THE THROTTLE WIDE OPEN THE ENGINE HICCUPPED AND WE MOMENTARILY LOST POWER.,1
DURING DEPARTURE AT FULL THROTTLE THE ENGINE CHOKED AND THERE WAS A BRIEF LOSS OF POWER.,ENGINE EXPERIENCED A CHOKE AND MOMENTARY POWER LOSS DURING DEPARTURE WHILE AT FULL THRUST.,1
DURING DEPARTURE AT FULL THROTTLE THE ENGINE CHOKED AND THERE WAS A BRIEF LOSS OF POWER.,HAD AN ENGINE CHOKE AND A SHORT POWER DROP ON DEPARTURE WITH FULL THROTTLE APPLIED.,1
ON TAKEOFF WITH THE THROTTLE WIDE OPEN THE ENGINE HICCUPPED AND WE MOMENTARILY LOST POWER.,ENGINE EXPERIENCED A CHOKE AND MOMENTARY POWER LOSS DURING DEPARTURE WHILE AT FULL THRUST.,1
ON TAKEOFF WITH THE THROTTLE WIDE OPEN THE ENGINE HICCUPPED AND WE MOMENTARILY LOST POWER.,HAD AN ENGINE CHOKE AND A SHORT POWER DROP ON DEPARTURE WITH FULL THROTTLE APPLIED.,1
