Grupo,Frase,Tipo
2,"HOLDING SHORT OF RUNWAY, AFTER COMPLETION OF RUN UP, ENGINE",orig
9,"IN FLIGHT, ENGINE BECAME ROUGH. DISCOVERED RIGHT MAGNETOS INOPERABLE. E",orig
18,LAST DAILY SHUT DOWN IDLE OVER RIDE SPEED CHECK - ENGINE RPM,orig
24,OIL FOUND ON ENTIRE RIGHT SIDE OF FUSELAGE.,orig
26,BAFFLE SEALS UNDER BOTH PROP GOVERNORS ARE LOOSE.,orig
38,"RIGHT ENGINE, FORWARD I/B BAFFLE HAS SMALL CRACK.",orig
42,FELT ON #1 & 3 BAFFLE COMING LOOSE.,orig
71,FORWARD PUSH ROD SEAL LEAKING @ ENGINE ON #3 CYLINDER.,orig
73,BAFFLE SEAL HAS HOLE IN IT.,orig
81,CYLINDER #3 AFT BAFFLE MOUNT LOOSE.,orig
84,OIL RETURN LINE CLAMPS LOOSE.,orig
90,RIGHT INNER CYLINDER BAFFLE TIE ROD IS INSTALLED INCORRECTLY.,orig
92,RIGHT ENGINE #3 BAFFLE CRACKED BY UPPER #1 BAFFLE ATTACHMENT.,orig
100,#2 & 3 CYLINDER ROCKER CVOER GASKET LEAKING.,orig
108,#3 CYLINDER OIL RETURN LINE LEAKING ON RUBBER HOSE SECTION.,orig
119,THROTTLE LINKAGE DOG BONE HAS LOOSE BEARING.,orig
128,PILOT COULDN'T REMOVE DIPSTICK.,orig
150,ENGINE BAFFLES NEED NEW BUTTON PLUGS.,orig
169,#1 & 2 ROCKER COVERS MISSING 2 SCREWS.,orig
170,ENGINE IDLES VERY IRRATICALLY BELOW 1150 RPM.,orig
182,#3 CYLINDER BAFFLE BRACKET RIVETS ARE LOOSE ON BACK SIDE OF BAFFL,orig
184,OVERSPEED OF 3300 IN FLIGHT.,orig
200,A/C WILL NOT MAKE POWER.,orig
207,"RIGHT ENGINE VIBRATION W/ INCREASING POWER, NO EXHAUST GAS TEMPERATURE  IND ON #3 C",orig
208,#2 INTAKE I/B BOLT HOLE HAS DAMAGED THREADS.,orig
209,LEFT & RIGHT OIL DIPSTICK TUBES ARE LOOSE.,orig
231,BOTH SPARK PLUG BAFFLE PLUGS ARE WORN.,orig
235,#2 & 4 BAFFLE OUTER TIE & SPRING BROKEN.,orig
263,INDUCTION AIR FILTER CAN BE REPLACED.,orig
291,ADEL CLAMP TORN BY RIGHT ENGINE MOUNT.,orig
302,CYLINDER #1 GOVERNOR BAFFLE SEAL IS COMING OFF.,orig
306,OIL LINE 90 DEGREE ADEL CLAMP BRACKET IS BROKEN.,orig
308,"POWER AT IDLE, ENGINE QUIT. RESTARTED & TESTED IDLE W/ FULL",orig
329,"STARTER WOULD TURN TWICE, THEN CUT OFF DURING START UP.",orig
335,BAFFLE BUTTON PLUG IS WORN.,orig
339,RIGHT BAFFLE SAFETY WIRE BROKEN.,orig
355,RIGHT REAR ENGINE BAFFLE MOUNTING SCREW MISSING & BRACKET RIVE,orig
380,RIGHT ENGINE BAFFLE #2 & 4 CROSSTIE BROKEN.,orig
384,LEFT BAFFLE PLUG MISSING TEETH.,orig
425,ACCESSORY PAD BEHIND ALTERNATOR HAS BRACKET INSTALLED W/ NOT,orig
446,FRONT BAFFLE SEALS ARE WORN.,orig
452,"DURING RUN UP, RPM WOULD NOT INCREASE PAST 1560, REGARDLESS",orig
456,RIGHT BAFFLE SPRING IS DISCONNECTED.,orig
460,RIGHT #2 CYLINDER EXHAUST PUSH ROD SEAL LEAKING.,orig
470,MUFFLER MISSING NUT.,orig
475,BROKEN MANIFOLD PSI LINE.,orig
485,LEFT SIDE OF LEFT ENGINE BAFFLING CONNECTING ROD BROKEN.,orig
488,#3 CYLINDER SIDE BAFFLE HAS LOOSE HARDWARE.,orig
499,#4 CYLINDER TOP SPARK PLUG ACCESS HOLE ON ENGINE BAFFLE REQUIRES,orig
526,"RIVETS SHEARED ON AFT BAFFLING, BEHIND CYLINDER #3.",orig
533,TEST FLIGHT NEEDED FOR HOVER POWER.,orig
537,"FRONT BAFFLE SEAL ON BOTTOM LEFT & BOTTOM RIGHT SIDES, NEEDS",orig
538,#2 ROCKER COVER GASKET NEEDS REPLACEMENT.,orig
