sentence1,sentence2,label
"HOLDING SHORT OF RUNWAY, AFTER COMPLETION OF RUN UP, ENGINE","HOLDING SHORT OF THE RUNWAY AFTER COMPLETION OF THE RUN-UP, THE ENGINE GAUGES WERE MONITORED.",1
"HOLDING SHORT OF RUNWAY, AFTER COMPLETION OF RUN UP, ENGINE",STOPPED SHORT OF THE RUNWAY ONCE THE RUN-UP WAS DONE AND WE KEPT AN EYE ON THE ENGINE.,1
"HOLDING SHORT OF RUNWAY, AFTER COMPLETION OF RUN UP, ENGINE","AFTER FINISHING THE RUN-UP AND HOLDING SHORT OF THE RUNWAY, THE ENGINE REMAINED UNDER OBSERVATION.",1
"HOLDING SHORT OF RUNWAY, AFTER COMPLETION OF RUN UP, ENGINE","RUN-UP COMPLETE, HOLDING SHORT OF RUNWAY — ENGINE BEING CHECKED.",1
"HOLDING SHORT OF THE RUNWAY AFTER COMPLETION OF THE RUN-UP, THE ENGINE GAUGES WERE MONITORED.",STOPPED SHORT OF THE RUNWAY ONCE THE RUN-UP WAS DONE AND WE KEPT AN EYE ON THE ENGINE.,1
"HOLDING SHORT OF THE RUNWAY AFTER COMPLETION OF THE RUN-UP, THE ENGINE GAUGES WERE MONITORED.","AFTER FINISHING THE RUN-UP AND HOLDING SHORT OF THE RUNWAY, THE ENGINE REMAINED UNDER OBSERVATION.",1
"HOLDING SHORT OF THE RUNWAY AFTER COMPLETION OF THE RUN-UP, THE ENGINE GAUGES WERE MONITORED.","RUN-UP COMPLETE, HOLDING SHORT OF RUNWAY — ENGINE BEING CHECKED.",1
STOPPED SHORT OF THE RUNWAY ONCE THE RUN-UP WAS DONE AND WE KEPT AN EYE ON THE ENGINE.,"AFTER FINISHING THE RUN-UP AND HOLDING SHORT OF THE RUNWAY, THE ENGINE REMAINED UNDER OBSERVATION.",1
STOPPED SHORT OF THE RUNWAY ONCE THE RUN-UP WAS DONE AND WE KEPT AN EYE ON THE ENGINE.,"RUN-UP COMPLETE, HOLDING SHORT OF RUNWAY — ENGINE BEING CHECKED.",1
"AFTER FINISHING THE RUN-UP AND HOLDING SHORT OF THE RUNWAY, THE ENGINE REMAINED UNDER OBSERVATION.","RUN-UP COMPLETE, HOLDING SHORT OF RUNWAY — ENGINE BEING CHECKED.",1
"IN FLIGHT, ENGINE BECAME ROUGH. DISCOVERED RIGHT MAGNETOS INOPERABLE. E",DURING FLIGHT THE ENGINE BEGAN RUNNING ROUGH; INSPECTION REVEALED THE RIGHT MAGNETOS WERE INOPERATIVE.,1
"IN FLIGHT, ENGINE BECAME ROUGH. DISCOVERED RIGHT MAGNETOS INOPERABLE. E",THE ENGINE GOT ROUGH IN THE AIR AND WE FOUND THE LEFT MAGNETO HAD FAILED.,1
"IN FLIGHT, ENGINE BECAME ROUGH. DISCOVERED RIGHT MAGNETOS INOPERABLE. E",IN-FLIGHT ENGINE ROUGHNESS NOTED — DISCOVERED THE #2 MAGNETO NOT WORKING.,1
"IN FLIGHT, ENGINE BECAME ROUGH. DISCOVERED RIGHT MAGNETOS INOPERABLE. E",ENGINE STARTED ROUGHING OUT WHILE AIRBORNE; THE RIGHT MAG WAS FOUND INOPERATIVE.,1
DURING FLIGHT THE ENGINE BEGAN RUNNING ROUGH; INSPECTION REVEALED THE RIGHT MAGNETOS WERE INOPERATIVE.,THE ENGINE GOT ROUGH IN THE AIR AND WE FOUND THE LEFT MAGNETO HAD FAILED.,1
DURING FLIGHT THE ENGINE BEGAN RUNNING ROUGH; INSPECTION REVEALED THE RIGHT MAGNETOS WERE INOPERATIVE.,IN-FLIGHT ENGINE ROUGHNESS NOTED — DISCOVERED THE #2 MAGNETO NOT WORKING.,1
DURING FLIGHT THE ENGINE BEGAN RUNNING ROUGH; INSPECTION REVEALED THE RIGHT MAGNETOS WERE INOPERATIVE.,ENGINE STARTED ROUGHING OUT WHILE AIRBORNE; THE RIGHT MAG WAS FOUND INOPERATIVE.,1
THE ENGINE GOT ROUGH IN THE AIR AND WE FOUND THE LEFT MAGNETO HAD FAILED.,IN-FLIGHT ENGINE ROUGHNESS NOTED — DISCOVERED THE #2 MAGNETO NOT WORKING.,1
