IDENT,DESAB
100001,ENGINE IDLE OVERRIDE KILLED ENGINE.
100004,HAD ENGINE CHOKE & BRIEFLY LOSE POWER ON DEPARTURE. FULL THR
100005,#2 & 4 CYLINDER ROCKER COVER GASKETS ARE LEAKING.
100006,ROCKER BOX COVER SCREWS LOOSE (ALL CYLINDER).
100007,INDUCTION TUBE HOSE CLAMPS LOOSE (ALL CYLINDER).
100008,#3 INTAKE IS LEAKING.
100009,#2 INTAKE IS LEAKING.
100010,#4 ROCKER COVER IS LEAKING.
100011,"HOLDING SHORT OF RUNWAY, AFTER COMPLETION OF RUN UP, ENGINE"
100012,LEFT REAR ENGINE BAFFLE CRACKED.
100013,INDUCTION TUBE HOSE CLAMPS LOOSE (ALL CYLS).
100014,"#1, 2 & 3 ROCKER BOX COVER GASKETS LEAKING."
100015,#2 ROCKER COVER GASKET LEAKING.
100016,#1 & 3 ROCKER COVER GASKET LEAKING.
100017,ROCKER BOX COVER SCREWS LOOSE.
100018,#1 ENGINE BAFFLE CRACKED.
100019,#1 INTAKE GASKET LEAKING.
100020,ROCKER COVER FOR CYLINDER #1 IS LEAKING.
100021,CYLINDER #4 INTAKE LEAKING.
100022,#2 & 4 CYLINDER ROCKER COVER GASKETS LEAKING.
100023,ROCKER BOX COVER SCREWS ARE LOOSE.
100024,INDUCTION TUBE HOSE CLAMPS LOOSE (ALL CYLINDER).
100025,#1 INTAKE GASKET LEAKING.
100026,INDUCTION TUBE HOSE CLAMPS LOOSE (ALL CYLS).
100027,RIGHT MAGNETOS BLAST TUBE FELL OFF.
100028,"ON START UP, ENGINE BEGAN TO RUN ROUGH. RAN ENGINE @ 1200 RIGHT PATTERN"
100031,#4 ROCKER COVER GASKET LEAKING.
100032,RIGHT ENGINE #4 AIR BAFFLE IS CRACKED
100033,RIGHT ENGINE FORWARD ALTERNATOR ATTACH BOLT LOOSE.
100034,LEFT ENGINE #4 AFT BAFFLE CRACKED IN MULTIPLE PLACES.
100035,"RIGHT ENGINE, ALL VALVE COVERS ARE LEAKING."
100036,LEFT ENGINE ALL 4 ROCKER COVER GASKETS LEAKING.
100037,LEFT ENGINE #2 INTAKE LEAKING.
100038,"IN FLIGHT, ENGINE BECAME ROUGH. DISCOVERED RIGHT MAGNETOS INOPERABLE. E"
100041,#4 INTAKE LEAKING.
100042,#3 ROCKER COVER GASKET LEAKING.
100043,TOP LEFT BAFFLE HAS A CRACK.
100044,OIL DIPSTICK OIL STICK IS LOOSE.
100045,#3 BRAKE MISSING SCREW.
100046,BAFFLE SEALS ON RIGHT SIDE ARE TORN.
100047,#2 & 4 ROCKER COVERS ARE LEAKING.
100048,#3 AFT BAFFLE BRACKET LOOSE.
100049,#4 CYLINDER ROCKER COVER IS LEAKING.
100050,"#1, 2, & 6 COWL MOUNTS ARE TORN."
100051,#4 INTAKE LEAKING.
100052,#2 & 4 ROCKER COVERS LEAKING.
100053,#4 INTAKE IS LEAKING.
100054,"DURING IDLE CHECK ON RUN UP, ENGINE QUIT. RESTART ENGINE"
100055,LEFT BAFFLE PLUG WORN.
100056,#1 ROCKER COVER LEAKING.
100057,LEFT ENGINE #2 & 4 SIDE BAFFLE SEALS LOOSE.
100058,RIGHT ENGINE #3 AFT BAFFLE SEAL IS LOOSE.
100059,#3 ROCKER COVER GASKET TORN.
100060,#4 ROCKER COVER GASKET TORN.
100061,#1 ROCKER COVER GASKET LEAKING.
100062,DURING GROUND RUN PILOT NOTICED HIGH OIL PRESS (ENGINE).
100064,STUDENT COULDN'T START A/C.
100065,VACUUM TUBE & OIL COOLER LINE ARE RUBBING TOGETHER.
100066,"AFTER LANDING, A/C IDLE @ 970 RPM."
100067,FUEL PRESS 32 - 33 W/ JUMPS INTO RED.
100068,RIGHT ENGINE #2 INTAKE LEAKS.
100069,LEFT ENGINE #4 CYLINDER BAFFLE CRACKED.
100070,RIGHT ENGINE #4 CYLINDER BAFFLE CRACKED.
100071,LAST DAILY SHUT DOWN IDLE OVER RIDE SPEED CHECK - ENGINE RPM
